"演奏会名","日付","会場","全体指揮等","ステージ","曲目・組曲名等","個別の曲名","作詞・訳詩","作曲","編曲","備考"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","I","Missa ""O quam gloriosum""","Kyrie","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","I","Missa ""O quam gloriosum""","Gloria","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","I","Missa ""O quam gloriosum""","Credo","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","I","Missa ""O quam gloriosum""","Sanctus","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","I","Missa ""O quam gloriosum""","Benedictus","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","I","Missa ""O quam gloriosum""","Agnus Dei","-","T.L. de Victoria","-","指揮: 鈴木義孝"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","母なるヴォルガを下りて","白樺合唱団(訳)","ロシア民謡","スヴェシニコフ",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","線路はつづくよどこまでも","佐木敏(訳)","アメリカ民謡","小林秀雄",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","アビニョンの橋の上で","門馬直衛(訳)","フランス民謡","小林秀雄",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","この世のよろこび","皆川達夫(訳)","C. Janequin","-",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","汽車ポッポ","本居長世","本居長世","篠原真",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","七つの子","野口雨情","本居長世","伊藤辰雄",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","夕焼け小焼け","中村雨紅","草川信","伊藤辰雄",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","赤とんぼ","三木露風","山田耕筰","小林秀雄",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","II","愛唱曲集","ひろちゃん","やまなかよしこ","三善晃","-",""
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","III","Missa for Three Voices","Kyrie","-","W. Byrd","-","賛助出演: 寒河江高校音楽部"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","III","Missa for Three Voices","Gloria","-","W. Byrd","-","賛助出演: 寒河江高校音楽部"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","III","Missa for Three Voices","Sanctus","-","W. Byrd","-","賛助出演: 寒河江高校音楽部"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","III","Missa for Three Voices","Benedictus","-","W. Byrd","-","賛助出演: 寒河江高校音楽部"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","III","Missa for Three Voices","Agnus Dei","-","W. Byrd","-","賛助出演: 寒河江高校音楽部"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","IV","混声合唱のための組曲 ""旅""","1. 旅立つ日","山之井慎, 田中清光","佐藤真","-","指揮: 朝一庸, ピアノ: 小山明子, 朗読: 今野寿子"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","IV","混声合唱のための組曲 ""旅""","2. 村の小径で","山之井慎, 田中清光","佐藤真","-","指揮: 朝一庸, ピアノ: 小山明子, 朗読: 今野寿子"
"第1回定期演奏会","1975年8月19日","山形市民会館大ホール","指揮: 朝一庸, 鈴木義孝","IV","混声合唱のための組曲 ""旅""","3. 旅のよろこび","山之井慎, 田中清光","佐藤真","-","指揮: 朝一庸, ピアノ: 小山明子, 朗読: 今野寿子"
